Common name,Scientific name,No.,No. Back
Jungle Nightjar,Caprimulgus indicus,26,8
Grey Nightjar,Caprimulgus jotaka,86,12
Palau Nightjar,Caprimulgus phalaena,1,0
European Nightjar,Caprimulgus europaeus,1365,158
Sombre Nightjar,Caprimulgus fraenatus,1,0
Rufous-cheeked Nightjar,Caprimulgus rufigena,37,10
Egyptian Nightjar,Caprimulgus aegyptius,11,0
Sykes's Nightjar,Caprimulgus mahrattensis,2,0
Nubian Nightjar,Caprimulgus nubicus,17,1
Golden Nightjar,Caprimulgus eximius,12,0
Jerdon's Nightjar,Caprimulgus atripennis,54,8
Large-tailed Nightjar,Caprimulgus macrurus,253,46
Mees's Nightjar,Caprimulgus meesi,17,3
Andaman Nightjar,Caprimulgus andamanicus,11,0
Philippine Nightjar,Caprimulgus manillensis,26,0
Sulawesi Nightjar,Caprimulgus celebensis,9,0
Donaldson Smith's Nightjar,Caprimulgus donaldsoni,7,1
Black-shouldered Nightjar,Caprimulgus nigriscapularis,32,2
Fiery-necked Nightjar,Caprimulgus pectoralis,120,24
Montane Nightjar,Caprimulgus poliocephalus,51,0
Indian Nightjar,Caprimulgus asiaticus,61,4
Madagascar Nightjar,Caprimulgus madagascariensis,35,6
Swamp Nightjar,Caprimulgus natalensis,27,5
Plain Nightjar,Caprimulgus inornatus,6,1
Star-spotted Nightjar,Caprimulgus stellatus,1,0
Savanna Nightjar,Caprimulgus affinis,111,19
Freckled Nightjar,Caprimulgus tristigma,60,5
Bonaparte's Nightjar,Caprimulgus concretus,8,2
Salvadori's Nightjar,Caprimulgus pulchellus,13,0
Bates's Nightjar,Caprimulgus batesi,16,0
Long-tailed Nightjar,Caprimulgus climacurus,25,3
Slender-tailed Nightjar,Caprimulgus clarus,50,2
Square-tailed Nightjar,Caprimulgus fossii,35,9
Standard-winged Nightjar,Caprimulgus longipennis,12,0
Pennant-winged Nightjar,Caprimulgus vexillarius,9,0
Oilbird,Steatornis caripensis,70,0
Great Potoo,Nyctibius grandis,74,20
Long-tailed Potoo,Nyctibius aethereus,48,15
Northern Potoo,Nyctibius jamaicensis,20,3
Common Potoo,Nyctibius griseus,215,77
Andean Potoo,Nyctibius maculosus,10,0
White-winged Potoo,Nyctibius leucopterus,54,3
Rufous Potoo,Nyctibius bracteatus,28,2
Marbled Frogmouth,Podargus ocellatus,23,3
Papuan Frogmouth,Podargus papuensis,23,1
Tawny Frogmouth,Podargus strigoides,34,7
Solomons Frogmouth,Rigidipenna inexpectata,14,0
Large Frogmouth,Batrachostomus auritus,33,0
Dulit Frogmouth,Batrachostomus harterti,5,0
Philippine Frogmouth,Batrachostomus septimus,29,0
Gould's Frogmouth,Batrachostomus stellatus,37,1
Sri Lanka Frogmouth,Batrachostomus moniliger,27,0
Hodgson's Frogmouth,Batrachostomus hodgsoni,22,0
Sumatran Frogmouth,Batrachostomus poliolophus,7,0
Bornean Frogmouth,Batrachostomus mixtus,11,0
Javan Frogmouth,Batrachostomus javensis,14,0
Blyth's Frogmouth,Batrachostomus affinis,56,4
Palawan Frogmouth,Batrachostomus chaseni,11,0
Sunda Frogmouth,Batrachostomus cornutus,28,0
Feline Owlet-nightjar,Aegotheles insignis,10,0
Starry Owlet-nightjar,Aegotheles tatei,9,0
Moluccan Owlet-nightjar,Aegotheles crinifrons,27,1
Wallace's Owlet-nightjar,Aegotheles wallacii,12,0
Mountain Owlet-nightjar,Aegotheles albertisi,8,0
Barred Owlet-nightjar,Aegotheles bennettii,6,0
Australian Owlet-nightjar,Aegotheles cristatus,67,21
Crested Treeswift,Hemiprocne coronata,32,5
Grey-rumped Treeswift,Hemiprocne longipennis,42,1
Whiskered Treeswift,Hemiprocne comata,24,2
Moustached Treeswift,Hemiprocne mystacea,14,1
Spot-fronted Swift,Cypseloides cherriei,7,1
White-chinned Swift,Cypseloides cryptus,7,2
White-fronted Swift,Cypseloides storeri,4,0
Sooty Swift,Cypseloides fumigatus,16,1
Rothschild's Swift,Cypseloides rothschildi,4,0
American Black Swift,Cypseloides niger,17,4
White-chested Swift,Cypseloides lemosi,2,0
Great Dusky Swift,Cypseloides senex,3,0
Tepui Swift,Streptoprocne phelpsi,6,0
Chestnut-collared Swift,Streptoprocne rutila,29,4
White-collared Swift,Streptoprocne zonaris,98,12
Biscutate Swift,Streptoprocne biscutata,32,2
White-naped Swift,Streptoprocne semicollaris,4,0
Plume-toed Swiftlet,Collocalia affinis,22,1
Ridgetop Swiftlet,Collocalia isonota,1,0
Tenggara Swiftlet,Collocalia sumbawae,1,0
Drab Swiftlet,Collocalia neglecta,1,0
Glossy Swiftlet,Collocalia esculenta,5,0
Satin Swiftlet,Collocalia uropygialis,1,0
Bornean Swiftlet,Collocalia dodgei,15,0
Cave Swiftlet,Collocalia linchi,3,2
Pygmy Swiftlet,Collocalia troglodytes,3,0
Seychelles Swiftlet,Aerodramus elaphrus,2,0
Mascarene Swiftlet,Aerodramus francicus,14,0
Indian Swiftlet,Aerodramus unicolor,8,0
Philippine Swiftlet,Aerodramus mearnsi,7,0
Halmahera Swiftlet,Aerodramus infuscatus,1,0
Sulawesi Swiftlet,Aerodramus sororum,1,0
Seram Swiftlet,Aerodramus ceramensis,2,0
Mountain Swiftlet,Aerodramus hirundinaceus,9,1
White-rumped Swiftlet,Aerodramus spodiopygius,8,1
Australian Swiftlet,Aerodramus terraereginae,1,0
Himalayan Swiftlet,Aerodramus brevirostris,7,0
Mossy-nest Swiftlet,Aerodramus salangana,1,0
Uniform Swiftlet,Aerodramus vanikorensis,10,0
Ameline Swiftlet,Aerodramus amelis,4,0
Palau Swiftlet,Aerodramus pelewensis,1,0
Island Swiftlet,Aerodramus inquietus,5,0
Tahiti Swiftlet,Aerodramus leucophaeus,1,0
Atiu Swiftlet,Aerodramus sawtelli,5,0
Marquesan Swiftlet,Aerodramus ocistus,2,0
Black-nest Swiftlet,Aerodramus maximus,2,0
Edible-nest Swiftlet,Aerodramus fuciphagus,12,1
Germain's Swiftlet,Aerodramus germani,17,0
Scarce Swift,Schoutedenapus myoptilus,11,3
Papuan Spine-tailed Swift,Mearnsia novaeguineae,3,0
Sao Tome Spinetail,Zoonavena thomensis,4,0
White-rumped Spinetail,Zoonavena sylvatica,1,0
Mottled Spinetail,Telacanthura ussheri,2,0
Black Spinetail,Telacanthura melanopygia,1,0
Silver-rumped Spinetail,Rhaphidura leucopygialis,11,0
Sabine's Spinetail,Rhaphidura sabini,2,0
Böhm's Spinetail,Neafrapus boehmi,1,0
White-throated Needletail,Hirundapus caudacutus,5,0
Silver-backed Needletail,Hirundapus cochinchinensis,1,0
Brown-backed Needletail,Hirundapus giganteus,1,0
Purple Needletail,Hirundapus celebensis,1,0
Grey-rumped Swift,Chaetura cinereiventris,81,34
Band-rumped Swift,Chaetura spinicaudus,41,7
Lesser Antillean Swift,Chaetura martinica,2,0
Costa Rican Swift,Chaetura fumosa,4,1
Pale-rumped Swift,Chaetura egregia,16,6
Chimney Swift,Chaetura pelagica,57,66
Vaux's Swift,Chaetura vauxi,41,10
Chapman's Swift,Chaetura chapmani,33,6
Sick's Swift,Chaetura meridionalis,76,13
Short-tailed Swift,Chaetura brachyura,64,15
White-throated Swift,Aeronautes saxatalis,63,36
White-tipped Swift,Aeronautes montivagus,32,8
Andean Swift,Aeronautes andecolus,28,5
Antillean Palm Swift,Tachornis phoenicobia,10,0
Neotropical Palm Swift,Tachornis squamata,55,18
Great Swallow-tailed Swift,Panyptila sanctihieronymi,9,0
Lesser Swallow-tailed Swift,Panyptila cayennensis,13,3
African Palm Swift,Cypsiurus parvus,46,7
Malagasy Palm Swift,Cypsiurus gracilis,4,0
Asian Palm Swift,Cypsiurus balasiensis,43,13
Alpine Swift,Tachymarptis melba,197,18
Mottled Swift,Tachymarptis aequatorialis,3,1
Cape Verde Swift,Apus alexandri,6,0
Common Swift,Apus apus,800,488
Plain Swift,Apus unicolor,34,4
Nyanza Swift,Apus niansae,4,0
Pallid Swift,Apus pallidus,312,75
African Black Swift,Apus barbatus,12,5
Malagasy Black Swift,Apus balstoni,12,3
Forbes-Watson's Swift,Apus berliozi,5,4
Bradfield's Swift,Apus bradfieldi,5,5
Pacific Swift,Apus pacificus,45,11
Salim Ali's Swift,Apus salimalii,3,0
Blyth's Swift,Apus leuconyx,1,0
Cook's Swift,Apus cooki,9,0
Dark-rumped Swift,Apus acuticauda,1,0
Little Swift,Apus affinis,119,46
House Swift,Apus nipalensis,63,4
Horus Swift,Apus horus,4,0
White-rumped Swift,Apus caffer,94,19
Bates's Swift,Apus batesi,2,0
Crimson Topaz,Topaza pella,28,1
Fiery Topaz,Topaza pyra,44,1
White-necked Jacobin,Florisuga mellivora,49,3
Black Jacobin,Florisuga fusca,45,3
White-tipped Sicklebill,Eutoxeres aquila,27,0
Buff-tailed Sicklebill,Eutoxeres condamini,5,0
Saw-billed Hermit,Ramphodon naevius,70,25
Hook-billed Hermit,Glaucis dohrnii,23,0
Bronzy Hermit,Glaucis aeneus,15,2
Rufous-breasted Hermit,Glaucis hirsutus,51,16
Band-tailed Barbthroat,Threnetes ruckeri,42,7
Pale-tailed Barbthroat,Threnetes leucurus,21,3
Broad-tipped Hermit,Anopetia gounellei,9,0
Dusky-throated Hermit,Phaethornis squalidus,21,1
Streak-throated Hermit,Phaethornis rupurumii,18,1
Little Hermit,Phaethornis longuemareus,17,5
Tapajos Hermit,Phaethornis aethopygus,6,0
Minute Hermit,Phaethornis idaliae,7,0
Cinnamon-throated Hermit,Phaethornis nattereri,20,3
Black-throated Hermit,Phaethornis atrimentalis,17,0
Stripe-throated Hermit,Phaethornis striigularis,99,11
Grey-chinned Hermit,Phaethornis griseogularis,51,9
Reddish Hermit,Phaethornis ruber,148,94
White-browed Hermit,Phaethornis stuarti,2,1
Buff-bellied Hermit,Phaethornis subochraceus,9,2
Sooty-capped Hermit,Phaethornis augusti,14,0
Planalto Hermit,Phaethornis pretrei,75,17
Scale-throated Hermit,Phaethornis eurynome,119,29
Pale-bellied Hermit,Phaethornis anthophilus,16,1
White-bearded Hermit,Phaethornis hispidus,29,32
White-whiskered Hermit,Phaethornis yaruqui,80,42
Green Hermit,Phaethornis guy,111,32
Tawny-bellied Hermit,Phaethornis syrmatophorus,54,11
Koepcke's Hermit,Phaethornis koepckeae,4,2
Needle-billed Hermit,Phaethornis philippii,12,42
Straight-billed Hermit,Phaethornis bourcieri,44,7
Mexican Hermit,Phaethornis mexicanus,5,0
Long-billed Hermit,Phaethornis longirostris,109,17
Long-tailed Hermit,Phaethornis superciliosus,56,8
Great-billed Hermit,Phaethornis malaris,67,20
Green-fronted Lancebill,Doryfera ludovicae,15,1
Blue-fronted Lancebill,Doryfera johannae,20,0
White-throated Daggerbill,Schistes albogularis,36,1
Geoffroy's Daggerbill,Schistes geoffroyi,17,4
Hyacinth Visorbearer,Augastes scutatus,25,1
Hooded Visorbearer,Augastes lumachella,28,1
Brown Violetear,Colibri delphinae,99,8
Mexican Violetear,Colibri thalassinus,73,37
Lesser Violetear,Colibri cyanotus,305,203
Sparkling Violetear,Colibri coruscans,249,177
White-vented Violetear,Colibri serrirostris,87,16
Tooth-billed Hummingbird,Androdon aequatorialis,36,6
Horned Sungem,Heliactin bilophus,21,0
Purple-crowned Fairy,Heliothryx barroti,13,0
Black-eared Fairy,Heliothryx auritus,17,0
White-tailed Goldenthroat,Polytmus guainumbi,35,0
Tepui Goldenthroat,Polytmus milleri,2,0
Green-tailed Goldenthroat,Polytmus theresiae,34,4
Fiery-tailed Awlbill,Avocettula recurvirostris,5,0
Ruby-topaz Hummingbird,Chrysolampis mosquitus,22,3
Jamaican Mango,Anthracothorax mango,1,0
Black-throated Mango,Anthracothorax nigricollis,44,6
Green-throated Mango,Anthracothorax viridigula,6,1
Green-breasted Mango,Anthracothorax prevostii,15,4
Veraguan Mango,Anthracothorax veraguensis,8,0
Antillean Mango,Anthracothorax dominicus,6,1
Green Mango,Anthracothorax viridis,1,0
Green-throated Carib,Eulampis holosericeus,3,0
Purple-throated Carib,Eulampis jugularis,3,0
Orange-throated Sunangel,Heliangelus mavors,5,0
Amethyst-throated Sunangel,Heliangelus amethysticollis,17,4
Longuemare's Sunangel,Heliangelus clarisse,17,1
Merida Sunangel,Heliangelus spencei,5,0
Gorgeted Sunangel,Heliangelus strophianus,8,1
Tourmaline Sunangel,Heliangelus exortis,19,3
Flame-throated Sunangel,Heliangelus micraster,7,0
Purple-throated Sunangel,Heliangelus viola,22,0
Royal Sunangel,Heliangelus regalis,10,0
Green-backed Firecrown,Sephanoides sephaniodes,56,39
Juan Fernandez Firecrown,Sephanoides fernandensis,11,0
Green Thorntail,Discosura conversii,8,1
Wire-crested Thorntail,Discosura popelairii,2,0
Black-bellied Thorntail,Discosura langsdorffi,3,0
Racket-tailed Coquette,Discosura longicaudus,6,0
Tufted Coquette,Lophornis ornatus,3,0
Dot-eared Coquette,Lophornis gouldii,2,0
Frilled Coquette,Lophornis magnificus,8,1
Rufous-crested Coquette,Lophornis delattrei,6,0
Spangled Coquette,Lophornis stictolophus,3,0
Festive Coquette,Lophornis chalybeus,4,0
Butterfly Coquette,Lophornis verreauxii,4,0
Black-crested Coquette,Lophornis helenae,1,0
White-crested Coquette,Lophornis adorabilis,3,0
Ecuadorian Piedtail,Phlogophilus hemileucurus,37,8
Peruvian Piedtail,Phlogophilus harterti,3,0
Speckled Hummingbird,Adelomyia melanogenys,143,35
Long-tailed Sylph,Aglaiocercus kingii,31,3
Violet-tailed Sylph,Aglaiocercus coelestis,28,5
Venezuelan Sylph,Aglaiocercus berlepschi,2,0
Red-tailed Comet,Sappho sparganurus,42,6
Bronze-tailed Comet,Polyonymus caroli,5,0
Grey-bellied Comet,Taphrolesbia griseiventris,4,0
Andean Hillstar,Oreotrochilus estella,12,0
White-sided Hillstar,Oreotrochilus leucopleurus,7,0
Ecuadorian Hillstar,Oreotrochilus chimborazo,9,0
Blue-throated Hillstar,Oreotrochilus cyanolaemus,10,0
Green-headed Hillstar,Oreotrochilus stolzmanni,5,0
Black-breasted Hillstar,Oreotrochilus melanogaster,4,1
Wedge-tailed Hillstar,Oreotrochilus adela,10,0
Mountain Avocetbill,Opisthoprora euryptera,5,0
Black-tailed Trainbearer,Lesbia victoriae,32,18
Green-tailed Trainbearer,Lesbia nuna,24,1
Black-backed Thornbill,Ramphomicron dorsale,4,0
Purple-backed Thornbill,Ramphomicron microrhynchum,21,2
Bronze-tailed Thornbill,Chalcostigma heteropogon,7,1
Rainbow-bearded Thornbill,Chalcostigma herrani,6,0
Rufous-capped Thornbill,Chalcostigma ruficeps,6,1
Olivaceous Thornbill,Chalcostigma olivaceum,1,0
Blue-mantled Thornbill,Chalcostigma stanleyi,15,1
Buffy Helmetcrest,Oxypogon stuebelii,14,0
Blue-bearded Helmetcrest,Oxypogon cyanolaemus,3,0
White-bearded Helmetcrest,Oxypogon lindenii,3,0
Green-bearded Helmetcrest,Oxypogon guerinii,7,0
Bearded Mountaineer,Oreonympha nobilis,4,1
Tyrian Metaltail,Metallura tyrianthina,176,42
Perija Metaltail,Metallura iracunda,7,0
Viridian Metaltail,Metallura williami,19,1
Violet-throated Metaltail,Metallura baroni,5,0
Neblina Metaltail,Metallura odomae,13,1
Coppery Metaltail,Metallura theresiae,9,2
Fiery-throated Metaltail,Metallura eupogon,2,0
Scaled Metaltail,Metallura aeneocauda,5,2
Black Metaltail,Metallura phoebe,7,0
Greenish Puffleg,Haplophaedia aureliae,20,3
Buff-thighed Puffleg,Haplophaedia assimilis,7,0
Hoary Puffleg,Haplophaedia lugens,8,0
Black-breasted Puffleg,Eriocnemis nigrivestis,4,0
Glowing Puffleg,Eriocnemis vestita,9,1
Black-thighed Puffleg,Eriocnemis derbyi,7,0
Coppery-bellied Puffleg,Eriocnemis cupreoventris,5,0
Sapphire-vented Puffleg,Eriocnemis luciani,10,0
Golden-breasted Puffleg,Eriocnemis mosquera,1,0
Blue-capped Puffleg,Eriocnemis glaucopoides,1,1
Colorful Puffleg,Eriocnemis mirabilis,3,0
Emerald-bellied Puffleg,Eriocnemis aline,7,0
Marvelous Spatuletail,Loddigesia mirabilis,9,0
Shining Sunbeam,Aglaeactis cupripennis,10,2
White-tufted Sunbeam,Aglaeactis castelnaudii,2,0
Purple-backed Sunbeam,Aglaeactis aliciae,14,0
Black-hooded Sunbeam,Aglaeactis pamela,16,1
Bronzy Inca,Coeligena coeligena,24,2
Brown Inca,Coeligena wilsoni,30,18
Black Inca,Coeligena prunellei,15,0
Collared Inca,Coeligena torquata,12,1
Violet-throated Starfrontlet,Coeligena violifer,14,6
Rainbow Starfrontlet,Coeligena iris,22,2
White-tailed Starfrontlet,Coeligena phalerata,3,0
Dusky Starfrontlet,Coeligena orina,6,0
Buff-winged Starfrontlet,Coeligena lutetiae,34,16
Golden-bellied Starfrontlet,Coeligena bonapartei,8,2
Blue-throated Starfrontlet,Coeligena helianthea,3,0
Mountain Velvetbreast,Lafresnaya lafresnayi,21,1
Sword-billed Hummingbird,Ensifera ensifera,10,0
Great Sapphirewing,Pterophanes cyanopterus,11,0
Buff-tailed Coronet,Boissonneaua flavescens,47,6
Chestnut-breasted Coronet,Boissonneaua matthewsii,26,4
Velvet-purple Coronet,Boissonneaua jardini,23,0
White-booted Racket-tail,Ocreatus underwoodii,58,30
Peruvian Racket-tail,Ocreatus peruanus,16,11
Rufous-booted Racket-tail,Ocreatus addae,3,2
Rufous-gaped Hillstar,Urochroa bougueri,3,2
Green-backed Hillstar,Urochroa leucura,10,0
Purple-bibbed Whitetip,Urosticte benjamini,24,2
Rufous-vented Whitetip,Urosticte ruficrissa,10,0
Velvet-browed Brilliant,Heliodoxa xanthogonys,5,0
Pink-throated Brilliant,Heliodoxa gularis,6,0
Rufous-webbed Brilliant,Heliodoxa branickii,1,0
Black-throated Brilliant,Heliodoxa schreibersii,18,2
Gould's Jewelfront,Heliodoxa aurescens,14,1
Fawn-breasted Brilliant,Heliodoxa rubinoides,28,1
Green-crowned Brilliant,Heliodoxa jacula,26,1
Empress Brilliant,Heliodoxa imperatrix,11,0
Violet-fronted Brilliant,Heliodoxa leadbeateri,26,9
Brazilian Ruby,Clytolaema rubricauda,51,7
Giant Hummingbird,Patagona gigas,52,4
Violet-chested Hummingbird,Sternoclyta cyanopectus,1,0
Scissor-tailed Hummingbird,Hylonympha macrocerca,7,0
Rivoli's Hummingbird,Eugenes fulgens,110,58
Talamanca Hummingbird,Eugenes spectabilis,17,0
Fiery-throated Hummingbird,Panterpe insignis,28,7
Long-billed Starthroat,Heliomaster longirostris,21,7
Plain-capped Starthroat,Heliomaster constantii,32,6
Stripe-breasted Starthroat,Heliomaster squamosus,13,1
Blue-tufted Starthroat,Heliomaster furcifer,31,2
White-bellied Mountaingem,Lampornis hemileucus,5,0
Blue-throated Mountaingem,Lampornis clemenciae,130,155
Amethyst-throated Mountaingem,Lampornis amethystinus,22,3
Green-throated Mountaingem,Lampornis viridipallens,16,4
Green-breasted Mountaingem,Lampornis sybillae,26,9
Purple-throated Mountaingem,Lampornis calolaemus,6,0
Grey-tailed Mountaingem,Lampornis cinereicauda,4,0
White-throated Mountaingem,Lampornis castaneoventris,3,0
Garnet-throated Hummingbird,Lamprolaima rhami,5,0
Amethyst Woodstar,Calliphlox amethystina,8,0
Purple-collared Woodstar,Myrtis fanny,33,12
Oasis Hummingbird,Rhodopis vesper,9,1
Short-tailed Woodstar,Myrmia micrura,15,0
Peruvian Sheartail,Thaumastura cora,10,4
Magenta-throated Woodstar,Philodice bryantae,2,0
Purple-throated Woodstar,Philodice mitchellii,6,0
Chilean Woodstar,Eulidia yarrellii,5,1
Slender-tailed Woodstar,Microstilbon burmeisteri,3,1
White-bellied Woodstar,Chaetocercus mulsant,16,3
Little Woodstar,Chaetocercus bombus,12,0
Gorgeted Woodstar,Chaetocercus heliodor,10,0
Santa Marta Woodstar,Chaetocercus astreans,2,0
Esmeraldas Woodstar,Chaetocercus berlepschi,6,0
Sparkling-tailed Woodstar,Tilmatura dupontii,7,0
Slender Sheartail,Doricha enicura,4,0
Mexican Sheartail,Doricha eliza,5,0
Lucifer Sheartail,Calothorax lucifer,27,3
Beautiful Sheartail,Calothorax pulcher,9,3
Black-chinned Hummingbird,Archilochus alexandri,90,137
Ruby-throated Hummingbird,Archilochus colubris,60,23
Vervain Hummingbird,Mellisuga minima,13,0
Bee Hummingbird,Mellisuga helenae,14,0
Bahama Woodstar,Nesophlox evelynae,2,0
Anna's Hummingbird,Calypte anna,232,209
Costa's Hummingbird,Calypte costae,44,27
Calliope Hummingbird,Selasphorus calliope,29,2
Rufous Hummingbird,Selasphorus rufus,100,32
Allen's Hummingbird,Selasphorus sasin,46,15
Broad-tailed Hummingbird,Selasphorus platycercus,128,225
Bumblebee Hummingbird,Selasphorus heloisa,28,4
Wine-throated Hummingbird,Selasphorus ellioti,24,0
Volcano Hummingbird,Selasphorus flammula,8,1
Scintillant Hummingbird,Selasphorus scintilla,7,0
Dusky Hummingbird,Phaeoptila sordida,16,3
Cuban Emerald,Riccordia ricordii,4,2
Hispaniolan Emerald,Riccordia swainsonii,2,0
Puerto Rican Emerald,Riccordia maugaeus,2,1
Blue-headed Hummingbird,Riccordia bicolor,1,0
Broad-billed Hummingbird,Cynanthus latirostris,114,91
Doubleday's Hummingbird,Cynanthus doubledayi,3,0
Golden-crowned Emerald,Cynanthus auriceps,6,0
Cozumel Emerald,Cynanthus forficatus,1,0
Canivet's Emerald,Cynanthus canivetii,6,1
Garden Emerald,Chlorostilbon assimilis,1,0
Western Emerald,Chlorostilbon melanorhynchus,9,1
Red-billed Emerald,Chlorostilbon gibsoni,23,1
Blue-tailed Emerald,Chlorostilbon mellisugus,19,1
Chiribiquete Emerald,Chlorostilbon olivaresi,11,0
Glittering-bellied Emerald,Chlorostilbon lucidus,49,20
Coppery Emerald,Chlorostilbon russatus,1,0
Green-tailed Emerald,Chlorostilbon alice,1,0
Short-tailed Emerald,Chlorostilbon poortmani,8,0
White-eared Hummingbird,Basilinna leucotis,89,89
Xantus's Hummingbird,Basilinna xantusii,16,4
Curve-winged Sabrewing,Pampa curvipennis,18,6
Wedge-tailed Sabrewing,Pampa pampa,6,0
Long-tailed Sabrewing,Pampa excellens,15,1
Rufous Sabrewing,Pampa rufa,18,1
Emerald-chinned Hummingbird,Abeillia abeillei,19,0
Violet-headed Hummingbird,Klais guimeti,57,4
Antillean Crested Hummingbird,Orthorhyncus cristatus,7,1
Santa Marta Blossomcrown,Anthocephala floriceps,8,1
Tolima Blossomcrown,Anthocephala berlepschi,7,0
Green-crowned Plovercrest,Stephanoxis lalandi,37,13
Purple-crowned Plovercrest,Stephanoxis loddigesii,28,4
Grey-breasted Sabrewing,Campylopterus largipennis,32,3
Outcrop Sabrewing,Campylopterus calcirupicola,11,0
Diamantina Sabrewing,Campylopterus diamantinensis,2,0
Rufous-breasted Sabrewing,Campylopterus hyperythrus,5,0
White-tailed Sabrewing,Campylopterus ensipennis,6,0
Lazuline Sabrewing,Campylopterus falcatus,26,2
Violet Sabrewing,Campylopterus hemileucurus,70,3
Buff-breasted Sabrewing,Campylopterus duidae,1,0
Napo Sabrewing,Campylopterus villaviscensio,14,0
Bronze-tailed Plumeleteer,Chalybura urochrysia,19,4
White-vented Plumeleteer,Chalybura buffonii,27,5
Crowned Woodnymph,Thalurania colombica,44,4
Fork-tailed Woodnymph,Thalurania furcata,67,21
Long-tailed Woodnymph,Thalurania watertonii,12,0
Violet-capped Woodnymph,Thalurania glaucopis,61,17
Snowcap,Microchera albocoronata,8,0
